trial,choice,button,reward,cumulative_reward
1,1,B,39,39
2,0,A,28,67
3,1,B,29,96
4,2,C,47,143
5,3,D,50,193
6,4,E,48,241
7,3,D,48,289
8,4,E,57,346
9,3,D,51,397
10,3,D,51,448
11,2,C,49,497
12,3,D,55,552
13,4,E,63,615
14,4,E,56,671
15,4,E,47,718
16,3,D,55,773
17,2,C,49,822
18,1,B,31,853
19,0,A,18,871
20,4,E,50,921
21,4,E,52,973
22,4,E,49,1022
23,3,D,52,1074
24,4,E,54,1128
25,3,D,57,1185
26,4,E,53,1238
27,3,D,59,1297
28,4,E,47,1344
29,2,C,46,1390
30,4,E,52,1442
31,3,D,57,1499
32,4,E,55,1554
33,2,C,53,1607
34,3,D,63,1670
35,4,E,51,1721
36,4,E,53,1774
37,3,D,57,1831
38,2,C,60,1891
39,2,C,56,1947
40,3,D,52,1999
41,4,E,54,2053
42,4,E,56,2109
43,4,E,46,2155
44,3,D,56,2211
45,2,C,56,2267
46,2,C,56,2323
47,2,C,53,2376
48,2,C,56,2432
49,2,C,56,2488
50,2,C,60,2548
51,2,C,58,2606
52,2,C,63,2669
53,2,C,54,2723
54,2,C,56,2779
55,2,C,63,2842
56,2,C,58,2900
57,2,C,61,2961
58,2,C,58,3019
59,2,C,62,3081
60,2,C,58,3139
61,2,C,53,3192
62,2,C,61,3253
63,2,C,64,3317
64,2,C,50,3367
65,2,C,66,3433
66,1,B,28,3461
67,0,A,30,3491
68,4,E,43,3534
69,3,D,59,3593
70,2,C,58,3651
71,2,C,57,3708
72,2,C,66,3774
73,2,C,53,3827
74,2,C,66,3893
75,3,D,59,3952
76,2,C,57,4009
77,2,C,59,4068
78,2,C,56,4124
79,2,C,62,4186
80,2,C,57,4243
81,2,C,58,4301
82,2,C,57,4358
83,3,D,48,4406
84,2,C,63,4469
85,2,C,56,4525
86,2,C,63,4588
87,2,C,61,4649
88,2,C,67,4716
89,2,C,63,4779
90,2,C,51,4830
91,2,C,65,4895
92,2,C,63,4958
93,2,C,61,5019
94,2,C,63,5082
95,2,C,62,5144
96,2,C,58,5202
97,2,C,69,5271
98,2,C,69,5340
99,2,C,70,5410
100,2,C,60,5470
101,3,D,62,5532
102,4,E,52,5584
103,2,C,58,5642
104,2,C,60,5702
105,2,C,57,5759
106,2,C,63,5822
107,3,D,58,5880
108,4,E,39,5919
109,3,D,66,5985
110,2,C,60,6045
111,2,C,62,6107
112,2,C,50,6157
113,3,D,63,6220
114,2,C,57,6277
115,3,D,67,6344
116,3,D,64,6408
117,3,D,63,6471
118,3,D,53,6524
119,2,C,61,6585
120,2,C,64,6649
121,2,C,68,6717
122,2,C,55,6772
123,3,D,55,6827
124,2,C,61,6888
125,4,E,49,6937
126,3,D,59,6996
127,1,B,37,7033
128,0,A,21,7054
129,2,C,60,7114
130,2,C,64,7178
131,2,C,67,7245
132,2,C,69,7314
133,2,C,59,7373
134,3,D,72,7445
135,3,D,60,7505
136,3,D,53,7558
137,2,C,67,7625
138,3,D,58,7683
139,2,C,61,7744
140,2,C,72,7816
141,2,C,61,7877
142,2,C,64,7941
143,2,C,60,8001
144,2,C,63,8064
145,2,C,65,8129
146,2,C,67,8196
147,2,C,65,8261
148,2,C,58,8319
149,3,D,65,8384
150,3,D,60,8444
151,3,D,60,8504
152,3,D,56,8560
153,2,C,75,8635
154,2,C,62,8697
155,3,D,62,8759
156,3,D,53,8812
157,2,C,65,8877
158,2,C,64,8941
159,2,C,67,9008
160,2,C,64,9072
161,2,C,61,9133
162,2,C,64,9197
163,2,C,63,9260
164,3,D,59,9319
165,2,C,71,9390
166,2,C,68,9458
167,2,C,59,9517
168,3,D,56,9573
169,4,E,48,9621
170,1,B,37,9658
171,0,A,21,9679
172,2,C,65,9744
173,2,C,63,9807
174,3,D,55,9862
175,2,C,65,9927
176,2,C,64,9991
177,2,C,62,10053
178,2,C,56,10109
179,3,D,58,10167
180,3,D,53,10220
181,2,C,69,10289
182,2,C,68,10357
183,2,C,63,10420
184,2,C,65,10485
185,2,C,65,10550
186,2,C,66,10616
187,2,C,60,10676
188,2,C,63,10739
189,2,C,64,10803
190,2,C,65,10868
191,2,C,67,10935
192,3,D,57,10992
193,2,C,66,11058
194,2,C,67,11125
195,2,C,66,11191
196,2,C,67,11258
197,2,C,64,11322
198,2,C,68,11390
199,2,C,67,11457
200,2,C,66,11523
